url,content
https://dnes.bg," Investor,  BGONAIR,  BLOOMBERGTV,  GOL,  AUTOMEDIA,  TIALOTO,  PULS,  AZ-JENATA,  TEEN"
https://amazon.com,
https://scrapethissite.com/pages,
